country,country_code,city,begin_postal,end_postal,parcel_pickup_tier,freight_pickup_tier,parcel_delivery_tier,freight_delivery_tier
Argentina,AR,Alicia,,,B,B,B,B
Argentina,AR,Allen,,,B,B,B,B
Argentina,AR,Almafuerte,,,B,B,B,B
Argentina,AR,Alsina,,,B,B,B,B
Argentina,AR,ALTA GRACIA,,,B,B,B,B
Argentina,AR,Alta Vista,,,B,B,B,B
Argentina,AR,Alto Rio Senguer,,,B,B,B,B
Argentina,AR,Alto Verde,,,B,B,B,B
Argentina,AR,Altona,,,B,B,B,B
Argentina,AR,Alzaga,,,B,B,B,B
Argentina,AR,Amalia,,,B,B,B,B
Argentina,AR,Amenabar,,,B,B,B,B
Argentina,AR,America,,,B,B,B,B
Argentina,AR,Anasagasti,,,B,B,B,B
Argentina,AR,Anatuya,,,B,B,B,B
Argentina,AR,Ancon,,,B,B,B,B
Argentina,AR,Andalgala,,,B,B,B,B
Argentina,AR,Anderson,,,B,B,B,B
Argentina,AR,Andino,,,B,B,B,B
Argentina,AR,Angelica,,,B,B,B,B
Argentina,AR,Anguil,,,B,B,B,B
Argentina,AR,Anquincila,,,B,B,B,B
Argentina,AR,Aparicio,,,B,B,B,B
Argentina,AR,Apostoles,,,B,B,B,B
Argentina,AR,Araujo,,,B,B,B,B
Argentina,AR,Arbolito,,,B,B,B,B
Argentina,AR,Arbuco,,,B,B,B,B
Argentina,AR,Arcadia,,,B,B,B,B
Argentina,AR,Arenaza,,,B,B,B,B
Argentina,AR,Argerich,,,B,B,B,B
Argentina,AR,Arias,,,B,B,B,B
Argentina,AR,Arminda,,,B,B,B,B
Argentina,AR,Armstrong,,,B,B,B,B
Argentina,AR,Arocena,,,B,B,B,B
Argentina,AR,Arrecifes,,,B,B,B,B
Argentina,AR,Arribenos,,,B,B,B,B
Argentina,AR,ARROYITO,,,B,B,B,B
Argentina,AR,Arroyo Aguas Blancas,,,B,B,B,B
Argentina,AR,Arroyo Cabral,,,B,B,B,B
Argentina,AR,Arroyo Ceibal,,,B,B,B,B
Argentina,AR,Arroyo Corto,,,B,B,B,B
Argentina,AR,Arroyo Dulce,,,B,B,B,B
Argentina,AR,Arroyo Seco,,,B,B,B,B
Argentina,AR,Arrufo,,,B,B,B,B
Argentina,AR,Arteaga,,,B,B,B,B
Argentina,AR,Arturo Vatteone,,,B,B,B,B
Argentina,AR,Ascension,,,B,B,B,B
Argentina,AR,Assunta,,,B,B,B,B
Argentina,AR,Atalaya,,,B,B,B,B
Argentina,AR,Auto Grande,,,B,B,B,B
Argentina,AR,Avestruz,,,B,B,B,B
Argentina,AR,Aviador Origone,,,B,B,B,B
Argentina,AR,Ayacucho,,,B,B,B,B
Argentina,AR,Azcuenaga,,,B,B,B,B
Argentina,AR,Azopardo,,,B,B,B,B
Argentina,AR,Bahia Blanca,,,B,B,B,B
Argentina,AR,Bahia San Blas,,,B,B,B,B
Argentina,AR,Bajo Caracoles,,,B,B,B,B
Argentina,AR,Balcarce,,,B,B,B,B
Argentina,AR,Balde,,,B,B,B,B
Argentina,AR,Balde De Escudero,,,B,B,B,B
Argentina,AR,Ballesteros,,,B,B,B,B
Argentina,AR,Balneario Claromeco,,,B,B,B,B
Argentina,AR,Balneario Mar Chiquita,,,B,B,B,B
Argentina,AR,Balneario Oriente,,,B,B,B,B
Argentina,AR,Balsa,,,B,B,B,B
Argentina,AR,Banado De Soto,,,B,B,B,B
Argentina,AR,Banda Del Rio Sali,,,B,B,B,B
Argentina,AR,Banderalo,,,B,B,B,B
Argentina,AR,Baradero,,,B,B,B,B
Argentina,AR,Bariloche,,,B,B,B,B
Argentina,AR,Barker,,,B,B,B,B
Argentina,AR,Barrancas,,,B,B,B,B
Argentina,AR,Barrio Chapadmalal,,,B,B,B,B
Argentina,AR,Barrio General Roca,,,B,B,B,B
Argentina,AR,Barrio San Eduardo,,,B,B,B,B
Argentina,AR,Barrio San Jorge,,,B,B,B,B
Argentina,AR,Basail,,,B,B,B,B
Argentina,AR,Basavilbaso,,,B,B,B,B
Argentina,AR,Base Aeronaval De Punta Indio,,,B,B,B,B
Argentina,AR,Baterias,,,B,B,B,B
Argentina,AR,Bayauca,,,B,B,B,B
Argentina,AR,Beazley,,,B,B,B,B
Argentina,AR,BELL VILLE,,,B,B,B,B
Argentina,AR,Belloq,,,B,B,B,B
Argentina,AR,Benito Juarez,,,B,B,B,B
Argentina,AR,Berabevu,,,B,B,B,B
Argentina,AR,Berdier,,,B,B,B,B
Argentina,AR,Bermudez,,,B,B,B,B
Argentina,AR,Bernardo De Irigoyen,,,B,B,B,B
Argentina,AR,Berrotaran,,,B,B,B,B
Argentina,AR,Beruti,,,B,B,B,B
Argentina,AR,Bialet Masse,,,B,B,B,B
Argentina,AR,Bigand,,,B,B,B,B
Argentina,AR,Blandengues,,,B,B,B,B
Argentina,AR,Blaquier,,,B,B,B,B
Argentina,AR,Blas Duranona,,,B,B,B,B
Argentina,AR,Blondeau,,,B,B,B,B
Argentina,AR,Bolivar,,,B,B,B,B
Argentina,AR,Bombal,,,B,B,B,B
Argentina,AR,Bonifacio,,,B,B,B,B
Argentina,AR,Bordenave,,,B,B,B,B
Argentina,AR,Borghi,,,B,B,B,B
Argentina,AR,Botijas,,,B,B,B,B
Argentina,AR,Bouril,,,B,B,B,B
Argentina,AR,Bragado,,,B,B,B,B
Argentina,AR,Brinkmann,,,B,B,B,B
Argentina,AR,Buen Pasto,,,B,B,B,B
Argentina,AR,Buena Nueva,,,B,B,B,B
Argentina,AR,Cabildo,,,B,B,B,B
Argentina,AR,Cabo Baigorria,,,B,B,B,B
Argentina,AR,Cafayate,,,B,B,B,B
Argentina,AR,Cafferatta,,,B,B,B,B
Argentina,AR,Calafate,,,B,B,B,B
Argentina,AR,Calchaqui,,,B,B,B,B
Argentina,AR,Calchin Oeste,,,B,B,B,B
Argentina,AR,Caldao,,,B,B,B,B
Argentina,AR,Calera,,,B,B,B,B
Argentina,AR,Caleta Olivia,,,B,B,B,B
Argentina,AR,Calilegua,,,B,B,B,B
Argentina,AR,Camaoti,,,B,B,B,B
Argentina,AR,Campillo,,,B,B,B,B
Argentina,AR,Campo Bello,,,B,B,B,B
Argentina,AR,Campo Crisol,,,B,B,B,B
Argentina,AR,Campo La Nena,,,B,B,B,B
Argentina,AR,Canada De Gomez,,,B,B,B,B
Argentina,AR,Canada De Las Vacas,,,B,B,B,B
Argentina,AR,Canada Del Ucle,,,B,B,B,B
Argentina,AR,Canada Rosquin,,,B,B,B,B
Argentina,AR,Canadon Seco,,,B,B,B,B
Argentina,AR,Canals,,,B,B,B,B
Argentina,AR,Candelaria,,,B,B,B,B
Argentina,AR,Candelaria Norte,,,B,B,B,B
Argentina,AR,Capilla Del Monte,,,B,B,B,B
Argentina,AR,Capilla Del Senor,,,B,B,B,B
Argentina,AR,Capitan Castro,,,B,B,B,B
Argentina,AR,Capitan Sarmiento,,,B,B,B,B
Argentina,AR,Cara Mala,,,B,B,B,B
Argentina,AR,Carabelas,,,B,B,B,B
Argentina,AR,Caraguatay,,,B,B,B,B
Argentina,AR,Carhue,,,B,B,B,B
Argentina,AR,Carilo,,,B,B,B,B
Argentina,AR,Carlos Casares,,,B,B,B,B
Argentina,AR,Carlos Keen,,,B,B,B,B
Argentina,AR,Carlos Maria Naon,,,B,B,B,B
Argentina,AR,Carlos Pellegrini,,,B,B,B,B
Argentina,AR,Carlos Salas,,,B,B,B,B
Argentina,AR,Carlos Tejedor,,,B,B,B,B
Argentina,AR,Carmen De Areco,,,B,B,B,B
Argentina,AR,Carmen De Patagones,,,B,B,B,B
Argentina,AR,Carmensa,,,B,B,B,B
Argentina,AR,Carrilobo,,,B,B,B,B
Argentina,AR,Casas,,,B,B,B,B
Argentina,AR,Cascada,,,B,B,B,B
Argentina,AR,Casilda,,,B,B,B,B
Argentina,AR,Castelli,,,B,B,B,B
Argentina,AR,Castilla,,,B,B,B,B
Argentina,AR,Catamarca,,,B,B,B,B
Argentina,AR,Cataratas Del Iguazu,,,B,B,B,B
Argentina,AR,Catriel,,,B,B,B,B
Argentina,AR,Catrilo,,,B,B,B,B
Argentina,AR,Caucete,,,B,B,B,B
Argentina,AR,Cauta,,,B,B,B,B
Argentina,AR,Centeno,,,B,B,B,B
Argentina,AR,Ceres,,,B,B,B,B
Argentina,AR,Cerrito,,,B,B,B,B
Argentina,AR,Cervantes,,,B,B,B,B
Argentina,AR,Chabas,,,B,B,B,B
Argentina,AR,Chajari,,,B,B,B,B
Argentina,AR,Chamical,,,B,B,B,B
Argentina,AR,Chanar Ladeado,,,B,B,B,B
Argentina,AR,Chapadmalal,,,B,B,B,B
Argentina,AR,Charigue,,,B,B,B,B
Argentina,AR,Charras,,,B,B,B,B
Argentina,AR,Chascomus,,,B,B,B,B
Argentina,AR,Chazon,,,B,B,B,B
Argentina,AR,Chelcos,,,B,B,B,B
Argentina,AR,Chepes,,,B,B,B,B
Argentina,AR,Chiclana,,,B,B,B,B
Argentina,AR,Chicoana,,,B,B,B,B
Argentina,AR,Chilecito,,,B,B,B,B
Argentina,AR,Chillar,,,B,B,B,B
Argentina,AR,Chivilcoy,,,B,B,B,B
Argentina,AR,Choele Choel,,,B,B,B,B
Argentina,AR,Chos Malal,,,B,B,B,B
Argentina,AR,Choya,,,B,B,B,B
Argentina,AR,Churqui,,,B,B,B,B
Argentina,AR,Cinco Saltos,,,B,B,B,B
Argentina,AR,Cipolletti,,,B,B,B,B
Argentina,AR,Clarke,,,B,B,B,B
Argentina,AR,Clason,,,B,B,B,B
Argentina,AR,Clorinda,,,B,B,B,B
Argentina,AR,Clucellas,,,B,B,B,B
Argentina,AR,Colhue Huapi,,,B,B,B,B
Argentina,AR,Colombres,,,B,B,B,B
Argentina,AR,Colon,,,B,B,B,B
Argentina,AR,Colonia 25 De Mayo,,,B,B,B,B
Argentina,AR,Colonia Aldao,,,B,B,B,B
Argentina,AR,Colonia Alvear,,,B,B,B,B
Argentina,AR,Colonia Barga,,,B,B,B,B
Argentina,AR,Colonia Baron Hirsch,,,B,B,B,B
Argentina,AR,Colonia Belgrano,,,B,B,B,B
Argentina,AR,Colonia Bismark,,,B,B,B,B
Argentina,AR,Colonia Caroya,,,B,B,B,B
Argentina,AR,Colonia Castelar,,,B,B,B,B
Argentina,AR,Colonia Castellanos,,,B,B,B,B
Argentina,AR,Colonia La Esperanza,,,B,B,B,B
Argentina,AR,Colonia Las Tres Ustaris,,,B,B,B,B
Argentina,AR,Colonia Liebig,,,B,B,B,B
Argentina,AR,Colonia Nieves,,,B,B,B,B
Argentina,AR,Colonia Prosperidad,,,B,B,B,B
Argentina,AR,Colonia Rodas,,,B,B,B,B
Argentina,AR,Colonia San Jose,,,B,B,B,B
Argentina,AR,Colonia Santa Mariana,,,B,B,B,B
Argentina,AR,Colonia Sello,,,B,B,B,B
Argentina,AR,Colonia Sere,,,B,B,B,B
Argentina,AR,Colonia Valentina,,,B,B,B,B
Argentina,AR,Colonia Velaz,,,B,B,B,B
Argentina,AR,Comandante Arnold,,,B,B,B,B
Argentina,AR,Comandante Espora,,,B,B,B,B
Argentina,AR,Comandante Luis Piedra Buena,,,B,B,B,B
Argentina,AR,Comandante Nicanor Otamendi,,,B,B,B,B
Argentina,AR,Comodoro Rivadavia,,,B,B,B,B
Argentina,AR,Concepcion,,,B,B,B,B
Argentina,AR,Concepcion De La Sierra,,,B,B,B,B
Argentina,AR,Concepcion Del Uruguay,,,B,B,B,B
Argentina,AR,Concordia,,,B,B,B,B
Argentina,AR,Conhello,,,B,B,B,B
Argentina,AR,Cooper,,,B,B,B,B
Argentina,AR,Copetonas,,,B,B,B,B
Argentina,AR,Coronda,,,B,B,B,B
Argentina,AR,Coronel Brandsen,,,B,B,B,B
Argentina,AR,Coronel Charlone,,,B,B,B,B
Argentina,AR,Coronel Dorrego,,,B,B,B,B
Argentina,AR,Coronel Granada,,,B,B,B,B
Argentina,AR,Coronel Jj Gomez,,,B,B,B,B
Argentina,AR,Coronel Moldes,,,B,B,B,B
Argentina,AR,Coronel Pringles,,,B,B,B,B
Argentina,AR,Coronel Suarez,,,B,B,B,B
Argentina,AR,Coronel Vidal,,,B,B,B,B
Argentina,AR,Correa,,,B,B,B,B
Argentina,AR,Corrientes,,,B,B,B,B
Argentina,AR,Cortinez,,,B,B,B,B
Argentina,AR,Cosquin,,,B,B,B,B
Argentina,AR,Costa Azul,,,B,B,B,B
Argentina,AR,Costa De Araujo,,,B,B,B,B
Argentina,AR,Costa Esmeralda,,,B,B,B,B
Argentina,AR,Crespo,,,B,B,B,B
Argentina,AR,Crispi,,,B,B,B,B
Argentina,AR,Crotto,,,B,B,B,B
Argentina,AR,Cruz Alta,,,B,B,B,B
Argentina,AR,Cruz Del Eje,,,B,B,B,B
Argentina,AR,Cucha Cucha,,,B,B,B,B
Argentina,AR,Cuenca,,,B,B,B,B
Argentina,AR,Curumallan,,,B,B,B,B
Argentina,AR,Daireaux,,,B,B,B,B
Argentina,AR,Darragueira,,,B,B,B,B
Argentina,AR,De La Garma,,,B,B,B,B
Argentina,AR,Del Carril,,,B,B,B,B
Argentina,AR,Del Valle,,,B,B,B,B
Argentina,AR,Desvio El Chingolo,,,B,B,B,B
Argentina,AR,Devoto,,,B,B,B,B
Argentina,AR,Diadema Argentina,,,B,B,B,B
Argentina,AR,Diamante,,,B,B,B,B
Argentina,AR,Diaz,,,B,B,B,B
Argentina,AR,Dolavon,,,B,B,B,B
Argentina,AR,Dolores,,,B,B,B,B
Argentina,AR,Domingo Funes,,,B,B,B,B
Argentina,AR,Domselaar,,,B,B,B,B
Argentina,AR,Don Bosco,,,B,B,B,B
Argentina,AR,Dos Hermanos,,,B,B,B,B
Argentina,AR,Dr Ricardo Rojas,,,B,B,B,B
Argentina,AR,Dr Velez Sarsfield,,,B,B,B,B
Argentina,AR,Ducos,,,B,B,B,B
Argentina,AR,Eduardo Castex,,,B,B,B,B
Argentina,AR,Eduardo Costa,,,B,B,B,B
Argentina,AR,Egusquiza,,,B,B,B,B
Argentina,AR,El Algarrobal,,,B,B,B,B
Argentina,AR,El Alva,,,B,B,B,B
Argentina,AR,El Arbolito Pergamino,,,B,B,B,B
Argentina,AR,El Bolson,,,B,B,B,B
Argentina,AR,El Borbollon,,,B,B,B,B
Argentina,AR,El Calden,,,B,B,B,B
Argentina,AR,El Dorado,,,B,B,B,B
Argentina,AR,El Durazno,,,B,B,B,B
Argentina,AR,El Fortin,,,B,B,B,B
Argentina,AR,El Galpon,,,B,B,B,B
Argentina,AR,El Hueco,,,B,B,B,B
Argentina,AR,El Jupiter,,,B,B,B,B
Argentina,AR,El Mirador,,,B,B,B,B
Argentina,AR,El Molino,,,B,B,B,B
Argentina,AR,El Rabon,,,B,B,B,B
Argentina,AR,El Silencio,,,B,B,B,B
Argentina,AR,El Socorro,,,B,B,B,B
Argentina,AR,El Sosneado,,,B,B,B,B
Argentina,AR,El Trebol,,,B,B,B,B
Argentina,AR,El Trio,,,B,B,B,B
Argentina,AR,El Zorro,,,B,B,B,B
Argentina,AR,Elena,,,B,B,B,B
Argentina,AR,Elordi,,,B,B,B,B
Argentina,AR,Elvira,,,B,B,B,B
Argentina,AR,Embalse,,,B,B,B,B
Argentina,AR,Emilio Lamarca,,,B,B,B,B
Argentina,AR,Emilio V. Lungue,,,B,B,B,B
Argentina,AR,Empalme Lobos,,,B,B,B,B
Argentina,AR,Enrique Fynn,,,B,B,B,B
Argentina,AR,Erasto,,,B,B,B,B
Argentina,AR,Erize,,,B,B,B,B
Argentina,AR,Ernestina,,,B,B,B,B
Argentina,AR,Escuela Naval Militar Rio Santiago,,,B,B,B,B
Argentina,AR,Espartillar,,,B,B,B,B
Argentina,AR,Espigas,,,B,B,B,B
Argentina,AR,Esquel,,,B,B,B,B
Argentina,AR,Estacion Josefina,,,B,B,B,B
Argentina,AR,Estacion Lago Epecuen,,,B,B,B,B
Argentina,AR,Estacion Lopez,,,B,B,B,B
Argentina,AR,Estacion Saguier,,,B,B,B,B
Argentina,AR,Esteban Diaz,,,B,B,B,B
Argentina,AR,Estela,,,B,B,B,B
Argentina,AR,Estomba,,,B,B,B,B
Argentina,AR,Estrugamou,,,B,B,B,B
Argentina,AR,Facundo,,,B,B,B,B
Argentina,AR,Fair,,,B,B,B,B
Argentina,AR,Famailla,,,B,B,B,B
Argentina,AR,Federacion,,,B,B,B,B
Argentina,AR,Federal,,,B,B,B,B
Argentina,AR,Ferrari,,,B,B,B,B
Argentina,AR,Ferre,,,B,B,B,B
Argentina,AR,Fighiera,,,B,B,B,B
Argentina,AR,Firmat,,,B,B,B,B
Argentina,AR,Flamenco,,,B,B,B,B
Argentina,AR,Florentino Ameghino,,,B,B,B,B
Argentina,AR,Formosa,,,B,B,B,B
Argentina,AR,Fortin Acha,,,B,B,B,B
Argentina,AR,Fortin Chaco,,,B,B,B,B
Argentina,AR,Fortin Tiburcio,,,B,B,B,B
Argentina,AR,Fortin Vigilancia,,,B,B,B,B
Argentina,AR,Franck,,,B,B,B,B
Argentina,AR,Franklin,,,B,B,B,B
Argentina,AR,Frias,,,B,B,B,B
Argentina,AR,Frontera,,,B,B,B,B
Argentina,AR,Fuentes,,,B,B,B,B
Argentina,AR,Gahan,,,B,B,B,B
Argentina,AR,Gaiman,,,B,B,B,B
Argentina,AR,Galvan,,,B,B,B,B
Argentina,AR,Galvez,,,B,B,B,B
Argentina,AR,Garcia Del Rio,,,B,B,B,B
Argentina,AR,Garibaldi,,,B,B,B,B
Argentina,AR,Garupa,,,B,B,B,B
Argentina,AR,General Acha,,,B,B,B,B
Argentina,AR,General Alvarado,,,B,B,B,B
Argentina,AR,General Alvear,,,B,B,B,B
Argentina,AR,General Arenales,,,B,B,B,B
Argentina,AR,General Baldissera,,,B,B,B,B
Argentina,AR,General Belgrano,,,B,B,B,B
Argentina,AR,General Cerri,,,B,B,B,B
Argentina,AR,General Chavez,,,B,B,B,B
Argentina,AR,GENERAL DEHESA,,,B,B,B,B
Argentina,AR,General Galarza,,,B,B,B,B
Argentina,AR,General Guemes,,,B,B,B,B
Argentina,AR,General Guido,,,B,B,B,B
Argentina,AR,General La Madrid,,,B,B,B,B
Argentina,AR,General Lagos,,,B,B,B,B
Argentina,AR,General Las Heras,,,B,B,B,B
Argentina,AR,General Lavalle,,,B,B,B,B
Argentina,AR,General Levalle,,,B,B,B,B
Argentina,AR,General Madariaga,,,B,B,B,B
Argentina,AR,General Mosconi,,,B,B,B,B
Argentina,AR,General Paz,,,B,B,B,B
Argentina,AR,General Pico,,,B,B,B,B
Argentina,AR,General Pintos,,,B,B,B,B
Argentina,AR,General Piran,,,B,B,B,B
Argentina,AR,General Roca,,,B,B,B,B
Argentina,AR,General Rojo,,,B,B,B,B
Argentina,AR,General San Martin,,,B,B,B,B
Argentina,AR,General Urquiza,,,B,B,B,B
Argentina,AR,General Villegas,,,B,B,B,B
Argentina,AR,Gente Grande,,,B,B,B,B
Argentina,AR,Glew,,,B,B,B,B
Argentina,AR,Gobernador Castro,,,B,B,B,B
Argentina,AR,Gobernador Ing V Virasoro,,,B,B,B,B
Argentina,AR,Gobernador Obligado,,,B,B,B,B
Argentina,AR,Gobernador Udaondo,,,B,B,B,B
Argentina,AR,Gobernador Ugarte,,,B,B,B,B
Argentina,AR,Gobernadro Gregores,,,B,B,B,B
Argentina,AR,Godeken,,,B,B,B,B
Argentina,AR,Goldney,,,B,B,B,B
Argentina,AR,Gomez,,,B,B,B,B
Argentina,AR,Gorostiaga,,,B,B,B,B
Argentina,AR,Goudge,,,B,B,B,B
Argentina,AR,Gowland,,,B,B,B,B
Argentina,AR,Goya,,,B,B,B,B
Argentina,AR,Goyena,,,B,B,B,B
Argentina,AR,Graciarena,,,B,B,B,B
Argentina,AR,Guadalupe Norte,,,B,B,B,B
Argentina,AR,Gualeguay,,,B,B,B,B
Argentina,AR,Gualeguaychu,,,B,B,B,B
Argentina,AR,Guamini,,,B,B,B,B
Argentina,AR,Guernica,,,B,B,B,B
Argentina,AR,Guinazu,,,B,B,B,B
Argentina,AR,Ham,,,B,B,B,B
Argentina,AR,Haras El Carmen,,,B,B,B,B
Argentina,AR,Henderson,,,B,B,B,B
Argentina,AR,Hernando,,,B,B,B,B
Argentina,AR,Hersilla,,,B,B,B,B
Argentina,AR,Hinojo,,,B,B,B,B
Argentina,AR,Holmberg,,,B,B,B,B
Argentina,AR,Huerta Grande,,,B,B,B,B
Argentina,AR,Hughes,,,B,B,B,B
Argentina,AR,Huinca Renanco,,,B,B,B,B
Argentina,AR,Hunter,,,B,B,B,B
Argentina,AR,Ibarlucea,,,B,B,B,B
Argentina,AR,Idiazabal,,,B,B,B,B
Argentina,AR,Ignacio Correas Arana,,,B,B,B,B
Argentina,AR,Indacochea,,,B,B,B,B
Argentina,AR,Independencia,,,B,B,B,B
Argentina,AR,Indio Rico,,,B,B,B,B
Argentina,AR,Ines Indart,,,B,B,B,B
Argentina,AR,Ingeniero Balloffet,,,B,B,B,B
Argentina,AR,Ingeniero Beaugey,,,B,B,B,B
Argentina,AR,Ingeniero De Madrid,,,B,B,B,B
Argentina,AR,Ingeniero Huergo,,,B,B,B,B
Argentina,AR,Ingeniero Luiggi,,,B,B,B,B
Argentina,AR,Ingeniero Moneta,,,B,B,B,B
Argentina,AR,Ingeniero Silveyra,,,B,B,B,B
Argentina,AR,Ingeniero Thompson,,,B,B,B,B
Argentina,AR,Ingeniero White,,,B,B,B,B
Argentina,AR,Inriville,,,B,B,B,B
Argentina,AR,Intendente Alvear,,,B,B,B,B
Argentina,AR,Intendente Verde,,,B,B,B,B
Argentina,AR,Interior De Argentina,,,B,B,B,B
Argentina,AR,Irene,,,B,B,B,B
Argentina,AR,Ireneo Portela,,,B,B,B,B
Argentina,AR,Isla Los Laureles,,,B,B,B,B
Argentina,AR,Isla Paulino,,,B,B,B,B
Argentina,AR,Isla Santiago,,,B,B,B,B
Argentina,AR,Isla Verde,,,B,B,B,B
Argentina,AR,Jachal,,,B,B,B,B
Argentina,AR,Jacinto Arauz,,,B,B,B,B
Argentina,AR,Jaime Prats,,,B,B,B,B
Argentina,AR,James Craik,,,B,B,B,B
Argentina,AR,Jaramillo,,,B,B,B,B
Argentina,AR,Jauregui,,,B,B,B,B
Argentina,AR,Jeppener,,,B,B,B,B
Argentina,AR,JESUS MARIA,,,B,B,B,B
Argentina,AR,Jose A. Grisasola,,,B,B,B,B
Argentina,AR,Jovita,,,B,B,B,B
Argentina,AR,Juan E. Barra,,,B,B,B,B
Argentina,AR,Juan Jose Paso,,,B,B,B,B
Argentina,AR,Juan Ortiz,,,B,B,B,B
Argentina,AR,Juan V. Cilley,,,B,B,B,B
Argentina,AR,Juan Vela,,,B,B,B,B
Argentina,AR,Juancho,,,B,B,B,B
Argentina,AR,JUAREZ CELMAN,,,B,B,B,B
Argentina,AR,Jujuy,,,B,B,B,B
Argentina,AR,Junin,,,B,B,B,B
Argentina,AR,Junin De Los Andes,,,B,B,B,B
Argentina,AR,Justiniano Posse,,,B,B,B,B
Argentina,AR,Kilometro 117,,,B,B,B,B
Argentina,AR,Km 57,,,B,B,B,B
Argentina,AR,Koluel Kayke,,,B,B,B,B
Argentina,AR,La Banda,,,B,B,B,B
Argentina,AR,La Carlota,,,B,B,B,B
Argentina,AR,La Cautiva,,,B,B,B,B
Argentina,AR,La Clotilde,,,B,B,B,B
Argentina,AR,La Cocha,,,B,B,B,B
Argentina,AR,La Colina,,,B,B,B,B
Argentina,AR,La Cumbrecita,,,B,B,B,B
Argentina,AR,La Emilia,,,B,B,B,B
Argentina,AR,La Esperanza,,,B,B,B,B
Argentina,AR,La Falda,,,B,B,B,B
Argentina,AR,La Firmeza,,,B,B,B,B
Argentina,AR,La Invencible,,,B,B,B,B
Argentina,AR,La Libertad,,,B,B,B,B
Argentina,AR,La Liguria,,,B,B,B,B
Argentina,AR,La Lucila Del Mar,,,B,B,B,B
Argentina,AR,La Martina,,,B,B,B,B
Argentina,AR,La Milka,,,B,B,B,B
Argentina,AR,La Nutria,,,B,B,B,B
Argentina,AR,La Oriental,,,B,B,B,B
Argentina,AR,La Para,,,B,B,B,B
Argentina,AR,La Pastora,,,B,B,B,B
Argentina,AR,La Paz,,,B,B,B,B
Argentina,AR,La Playosa,,,B,B,B,B
Argentina,AR,La Posta,,,B,B,B,B
Argentina,AR,La Primavera,,,B,B,B,B
Argentina,AR,La Punta,,,B,B,B,B
Argentina,AR,La Querencia,,,B,B,B,B
Argentina,AR,La Reserva,,,B,B,B,B
Argentina,AR,La Ribera,,,B,B,B,B
Argentina,AR,La Rinconada,,,B,B,B,B
Argentina,AR,La Rioja,,,B,B,B,B
Argentina,AR,La Salada,,,B,B,B,B
Argentina,AR,La Yesca,,,B,B,B,B
Argentina,AR,Laborde,,,B,B,B,B
Argentina,AR,Lago Blanco,,,B,B,B,B
Argentina,AR,Lago Epecuen,,,B,B,B,B
Argentina,AR,Lago Epucuen,,,B,B,B,B
Argentina,AR,Laguna Blanca,,,B,B,B,B
Argentina,AR,Laguna Larga,,,B,B,B,B
Argentina,AR,Laguna Paiva,,,B,B,B,B
Argentina,AR,Lamarque,,,B,B,B,B
Argentina,AR,Landeta,,,B,B,B,B
Argentina,AR,Laprida,,,B,B,B,B
Argentina,AR,Lartigau,,,B,B,B,B
Argentina,AR,Las Armas,,,B,B,B,B
Argentina,AR,Las Bandurias,,,B,B,B,B
